"TF","padj_human","padj_ccl4","padj_taa","padj_fisher"
"SMARCA4",8.86533370488059e-23,0.0280762131968448,0.00165363883201587,3.20605571054185e-25
"NR2E1",2.30368101409367e-18,0.0297213325078978,0.00529508288966809,4.20296957549254e-20
"SMAD6",9.60701962170973e-17,0.00993454083188536,0.0151430736213117,1.22822118684028e-18
"MEOX1",4.43333398139895e-15,0.0291246318472957,0.00259184203820458,2.06878921890354e-17
"HMGB2",7.96935381164204e-12,0.0157176264188619,0.000375526470639098,5.74613901752519e-17
"SRSF2",7.31793642453209e-13,0.00383123109430903,0.00190887442372298,6.1388263245279e-17
"HOXD3",2.25335641197861e-10,0.0005013563789732,0.00990397802589978,3.41174848916928e-15
"THAP11",6.94702305706565e-13,0.0183565826983435,0.00848291902996972,7.33220664757085e-15
"SMAD7",2.46234103575395e-12,0.00562408084017201,0.017222251116931,9.1751129706962e-15
"FOXJ1",1.01592430731162e-12,0.0296578544934657,0.00790611056111809,1.64568003477527e-14
"KLF2",1.58173452929651e-09,0.000599540885145438,0.00473720550088571,1.64568003477527e-14
"LEF1",6.43171985375581e-12,0.0141305201958823,0.00473720550088571,1.66201706084161e-14
"E2F7",1.25632012044255e-09,0.013460601068442,0.000771871281637034,1.25296696885712e-13
"MEOX2",4.22849831739088e-09,0.00936921494485171,0.000771871281637034,1.31733178424545e-13
"SMAD3",1.11043448024455e-09,0.00975765478376993,0.00135685712434815,1.64578426322089e-13
"NPM1",3.39008603032249e-10,0.0132126225387629,0.00297079650674848,3.50897099751054e-13
"FOSB",3.52076671976089e-09,0.00347587206168612,0.00409082060416261,4.43135199378629e-13
"BARX1",1.60516510192531e-10,0.00390094443486805,0.0498785547700598,7.09335558602018e-13
"SCX",1.40482648805347e-07,0.000483917551617454,0.0113343285154207,9.32923592180803e-13
"NUPR1",2.84720224633317e-09,0.00468491960184918,0.0078118066335689,1.72729927044966e-12
"TBPL2",1.22247703692634e-07,0.00372577308509973,0.0032505402687117,1.28684967647527e-11
"VHL",7.88418761911501e-07,0.00390094443486805,0.00313768358246187,1.05231379431287e-10
"TFDP1",4.67534380590023e-07,0.00880998300955742,0.00473720550088571,4.20149523401389e-10
"NR2C2",2.05346529076823e-06,0.00390094443486805,0.00473720550088571,4.39363625721436e-10
"ING4",1.53185550539721e-07,0.0103301106559631,0.00923279472768945,4.5356250387756e-10
"PIN1",1.75383645593403e-06,0.00815575717106415,0.00259184203820458,5.56225864365881e-10
"ZBTB17",0.000185069717623082,0.00605392631972109,0.000603927502022623,1.32538817495747e-09
"VDR",2.80833638616562e-05,0.00249135082045776,0.00522479870162588,1.34494390206778e-09
"NEUROD6",2.03424727548137e-05,0.00315321315680463,0.00403888191204101,1.40421335950223e-09
"NOTCH1",7.51197922509065e-05,0.00236200631486701,0.0036508427653731,1.82846225161768e-09
"ZIC1",0.000345527852572689,0.00347587206168612,0.000771871281637034,1.8505559943857e-09
"KLF7",2.7155455453196e-05,0.00372577308509973,0.00280330536578166,1.86701917774784e-09
"HINFP",0.000112438307259093,0.00122408619744504,0.0072721314532968,3.04168764386944e-09
"EP300",1.17100139311195e-05,0.0326851518161696,0.00233714835243681,1.94888673776485e-08
"ARID1A",6.16089103528904e-05,0.00479688099464757,0.00849673749342022,3.28340559090973e-08
"MYCN",3.54327012981149e-07,0.0449818668459109,0.0486870631808902,3.84764168761141e-08
"BHLHA15",0.000137256838263342,0.00383123109430903,0.00842888183546284,3.90039736744928e-08
"KAT7",6.07547047732824e-05,0.0191228159312669,0.00233714835243681,4.34814397636057e-08
"HOXC8",0.00108290920365435,0.0211547833599196,0.000704355439611229,4.7239148769805e-08
"TFAP2B",1.03806980232467e-05,0.0169076868587257,0.0304850048226103,1.5576000447381e-07
"ZHX2",0.000626991494954495,0.00390094443486805,0.0113343285154207,2.38824533790236e-07
"KLF8",8.17321080374413e-05,0.0144989587854306,0.0110478416304117,2.7713278759101e-07
"HCFC1",1.7572654500912e-05,0.021175154597933,0.030275727964201,3.31932198384836e-07
"BARX2",0.00209767485224097,0.0103301106559631,0.00226253539072417,3.96697907227862e-07
"SSRP1",0.000212445523168841,0.045957671608711,0.00317934886523485,5.7981461196688e-07
"JUND",2.55493821259355e-05,0.0383290367770991,0.026939196664886,8.44136280476236e-07
"SIX1",0.00150587553427605,0.0144989587854306,0.00535284017895319,1.62227563219227e-06
"BTG2",5.66359729497113e-05,0.0326851518161696,0.0324271249255717,1.70493450618208e-06
"HIF1A",0.00095194782587036,0.00936921494485171,0.032145675418122,3.83002756899193e-06
"E2F1",0.00165992198039942,0.0260942441505305,0.0072721314532968,5.42100523933043e-06
"HOXA11",0.0136562585072671,0.0174643102968545,0.00260487458754233,5.77936534343529e-06
"HIPK2",0.00024939713901144,0.0377888948848606,0.0347858581381529,8.71682035109921e-06
"SNAI2",0.0334760596935502,0.0170840371281985,0.0129696402768297,8.80752687209011e-05
"FOXP3",0.0153952403956945,0.0142145059710471,0.0481798052615741,0.000135491124768613
